username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
kumarnysha,Nysha Kumar,https://twitter.com/KumarNysha/status/1307293501382508544,"""INJUSTICE ANYWHERE IS A THREAT TO JUSTICE EVERYWHERE-MARTIN LUTHER KING.
Wish everyone had fought 4 JIAHKHAN 7 years back so that #DishaSalian and #ssr would be here with us.😭😭 @JiahKhanJustice @justiceforjiahk @stand4jiah @justiceforss @KanganaTeam @ExSecular @shwetasinghkirt… https",2020-09-19 05:20:00,327,196,10,JiahKhanJustice | justiceforjiahk | stand4jiah | justiceforss | KanganaTeam | ExSecular | shwetasinghkirt,7,DishaSalian | ssr,2,,https://pbs.twimg.com/media/EiRwgn6WAAA6rQI.jpg
rhythm37429127,Kavita Jain 3,https://twitter.com/Rhythm37429127/status/1304977399889584129,"""Happy  that I am a part of fulfilling one of #SSR dreams.. #Plants4SSR 
Two plants ❤ ❤
@nilotpalm3 @shwetasinghkirt… """,2020-09-12 19:57:00,409,304,13,nilotpalm3 | shwetasinghkirt,2,SSR | Plants4SSR,2,,https://pbs.twimg.com/media/Ehw2Al5UYAA_rCu.jpg | https://pbs.twimg.com/media/Ehw2BKEU4AEubvx.jpg
bhardwa04372072,Bhardwaj,https://twitter.com/Bhardwa04372072/status/1308021596397789184,"""I wrote this poem for #SSR❤️ @shwetasinghkirt 
@anky1912 
@smitaparikh2 
@iujjawaltrivedi 
@nilotpalm3… """,2020-09-21 05:33:00,,,0,shwetasinghkirt | anky1912 | smitaparikh2 | iujjawaltrivedi | nilotpalm3,5,SSR,1,,https://pbs.twimg.com/media/EicGojOVoAEASQ1.jpg
abhishe31271523,Abhishek,https://twitter.com/Abhishe31271523/status/1307187187394387970,"""#ssr
#DishaSalian 
This news shocked me… """,2020-09-18 22:18:00,2,2,1,,0,ssr | DishaSalian,2,,https://pbs.twimg.com/media/EiQP0TZWsAEZB2y.jpg
am7990907,amitava mondal,https://twitter.com/am7990907/status/1307346411093020672,"""#SSR immediately now
https",2020-09-19 08:50:00,,,0,,0,SSR,1,,
arunkum55074375,Arun Kumar pandey,https://twitter.com/ArunKum55074375/status/1307651839265918978,"""Check out #ssr! Available for the next 1 day via @Teespring",2020-09-20 05:04:00,1,,0,Teespring,1,ssr,1,,
dhruv49696855,dhruv,https://twitter.com/dhruv49696855/status/1307553484342845440,"""SHARE YOUR FEELINGS .... for SSR 
DONT FORGET TO USE > #Message4SSR 
DONT FORGET TO TAG @nilotpalm3 @shwetasinghkirt 
DAY > 21 SEP 2020 
TIMING > 4PM - 10PM 
.
.
.
SHOW YOUR LOVE FOR SSR 
#Message4SSR 
WE MISS YOU #SSR ❤
💔
🌺
✨
💫
🌏
🔱… https",2020-09-19 22:33:00,48,105,3,nilotpalm3 | shwetasinghkirt,2,Message4SSR | Message4SSR | SSR,3,,https://pbs.twimg.com/media/EiVcJSoVkAEqw-R.jpg | https://pbs.twimg.com/media/EiVcLa2U4AAb_jr.jpg
vivekanandg,Adv.Vivekanand Gupta ,https://twitter.com/vivekanandg/status/1307366787323842561,"""Dis Picture
Will reveal most probably next week. How #SSR was killed, place of murder and how his body reached his bedroom. 
#SushantWasMurdered… https",2020-09-19 10:11:00,436,175,34,,0,SSR | SushantWasMurde,2,,https://pbs.twimg.com/media/EiSzKVQXkAEN6p0.jpg
sushantf3,United for #SushantSinghRajput,https://twitter.com/sushantf3/status/1306598972736204800,"""Before drug-dealers-&-killer gang struck, #SSR was all career and contribution! #WhatATragedy… """,2020-09-17 07:20:00,"3,027",925,111,,0,SSR | WhatATragedy,2,,https://pbs.twimg.com/media/EiH41hsUMAIaNSP.jpg | https://pbs.twimg.com/media/EiH41htVoAEtwN0.jpg | https://pbs.twimg.com/media/EiH41huVkAYcV6T.jpg | https://pbs.twimg.com/media/EiH41hrUYAA2O4w.jpg
simplespeaks,Simple - Boycott Chinese Products!! ,https://twitter.com/simplespeaks/status/1306875469510381568,"""🙏 Tribute to #SSR by special Artist 
#ExposeDishaSalianCase… """,2020-09-18 01:39:00,653,313,15,,0,SSR | ExposeDishaSali,2,,https://pbs.twimg.com/media/EiL0SO9WkAEMz_I.jpg | https://pbs.twimg.com/media/EiL0TIhXsAA0zIi.jpg
ankursrajput,Ankur S Rajput,https://twitter.com/ankursrajput/status/1307616793410772993,"""#SSR is an Icon who showed d World, Dreams can b True if V really want it

0.1% people work 4 Mankind wen they mke Fortune the rest only Splurge & Live Lavish. #SSR is that 0.1% 

This Icon a Flame 🔥 now will keep Inspiring & Guiding the World for Generations to come 🙌🏻🙌🏻🙌🏻… https",2020-09-20 02:45:00,525,215,30,,0,SSR | SSR,2,,https://pbs.twimg.com/media/EiWWiMeXYAAElCP.jpg
ankursrajput,Ankur S Rajput,https://twitter.com/ankursrajput/status/1307413377199734784,"""#AnuragKashyap SSRians Pity You. 
U have shown the world wat kind of sick mentality person U are with all the lies spoken against GENIUS #SSR

World knows U lied

Now SSRians will show the World what kind of THARKI YOU are

@Remember2ndOct 

#AnuragKashyap 
#ArrestAnuragKashyap… https",2020-09-19 13:16:00,854,558,59,Remember2ndOct,1,AnuragKashyap | SSR | AnuragKashyap | ArrestAnuragKas,4,,
theis_ist,Sin,https://twitter.com/Theis_ist/status/1307141843239354368,"""Making us Fools all the Time ???

• Sonu Sood clearing Image by helping lots now .

• Sanjay Dutt cleared Image by making Sanju.

• Salman Khan cleared Image by Charity Show Off.

• Akshay Kumar caught in Money laundering and cleared Image by Deshbhakti.

#Shushant #SSR… https",2020-09-18 19:17:00,"1,287",531,116,,0,Shushant | SSR,2,,https://pbs.twimg.com/media/EiPmkV4VoAAxONP.jpg
iujjawaltrivedi,Ujjawal Trivedi,https://twitter.com/iujjawaltrivedi/status/1305080468887334912,"""#SSR family friend @nilotpalm3 has a special message for you.… """,2020-09-13 02:46:00,"2,019",676,60,nilotpalm3,1,SSR,1,,
sushantf3,United for #SushantSinghRajput,https://twitter.com/sushantf3/status/1307535708882522113,"""Great artwork by a great fan of #SSR! So lively! So vibrant! Thanks!… """,2020-09-19 21:23:00,"3,609",820,67,,0,SSR,1,,https://pbs.twimg.com/media/EiVMylrUwAUIhLR.jpg
sushantf3,United for #SushantSinghRajput,https://twitter.com/sushantf3/status/1307975924269293568,"""⁦@itsSSR⁩ wishes Hon PM Shri ⁦@narendramodi⁩ Ji a happy birthday only a year or so ago. How can he be gone? Miss you #SSR… https",2020-09-21 02:32:00,"4,061","1,186",147,itsSSR | narendramodi,2,SSR,1,,
iamamitchauhann,AMIT CHAUHAN ,https://twitter.com/IamAMITCHAUHANN/status/1272098441380761600,"""I can't imagine that you are no more😭😭😭😭😭😭

Why would you do this?😥

RIP 😭😭😭😭😭😭
#SushantSighRajput😢… """,2020-06-14 02:27:00,19,9,1,,0,SushantSighRajp,1,,https://pbs.twimg.com/media/EadmyR2UcAEgKWD.jpg
zebaism,Zeba Warsi,https://twitter.com/Zebaism/status/1272093624054906882,"""Tragic. Bollywood actor #SushantSighRajput has been found dead in his Bandra apartment in Mumbai. 

Suspected suicide. 

Unbelievable. This is so so disturbing. He was such a talented actor, so much potential.""",2020-06-14 02:08:00,120,10,9,,0,SushantSighRajp,1,,
ssrtruesoul,Justice_4SSR,https://twitter.com/SSRtruesoul/status/1307857870566821888,"""Awesome compilation . Yes we all love SSR.. #lmmenseLove4SSR #CBIFamilyAwaitsJusticeForSSR please find his murderers .we miss him daily. Wish he was safe and alive and away from #RheaChakraborty and rest.… https",2020-09-20 18:43:00,,,1,,0,lmmenseLove4SSR | CBIFamilyAwaits | RheaChakraborty,3,,
